Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CVI,CVR Energy Inc. Common Stock,$29.94,1.95,6.967%,3009886134.00,United States,2007,996374,Energy,Integrated oil Companies
CVX,Chevron Corporation Common Stock,$145.78,4.76,3.375%,285354847185.00,United States,,8278584,Energy,Integrated oil Companies
DEN,Denbury Inc. Common Stock,$82.36,2.55,3.195%,4095120721.00,,2020,1172915,Energy,Oil & Gas Production
DINO,HF Sinclair Corporation Common Stock,$54.25,3.64,7.192%,11625371543.00,United States,1960,2020268,Energy,Integrated oil Companies
DK,Delek US Holdings Inc. Common Stock,$27.92,2.01,7.758%,1983298764.00,United States,2017,1139784,Energy,Integrated oil Companies
DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests,$51.62,2.41,4.897%,2244677478.00,United States,2012,54085,Energy,Oil & Gas Production
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,$26.42,1.70,6.877%,992197129.00,United States,,55379,Energy,Oil & Gas Production
DO,Diamond Offshore Drilling Inc. Common Stock,$7.02,0.59,9.176%,711695294.00,United States,2022,913963,Energy,Oil & Gas Production
DVN,Devon Energy Corporation Common Stock,$60.05,3.88,6.908%,39320740000.00,United States,1985,11725300,Energy,Oil & Gas Production
E,ENI S.p.A. Common Stock,$21.22,0.59,2.86%,37381638171.00,Italy,,463552,Energy,Oil & Gas Production
EC,Ecopetrol S.A. American Depositary Shares,$9.16,0.31,3.503%,18831446163.00,Colombia,,1415009,Energy,Oil & Gas Production
ENB,Enbridge Inc Common Stock,$38.48,0.97,2.586%,77913894765.00,Canada,,4427502,Energy,Oil & Gas Production
EOG,EOG Resources Inc. Common Stock,$111.73,6.28,5.955%,65478754443.00,United States,,4198535,Energy,Oil & Gas Production
EQNR,Equinor ASA,$33.58,0.57,1.727%,105550007595.00,Norway,,5070514,Energy,Integrated oil Companies
